Generation	Inchi	Smiles	Pathway
G3	LROSXNJPBNFKCY	C1(C(COC(CN)(C1)O)O)=O	['C1(C(COC(CN)(C1)O)O)=O', ['3874_0', 'Elimination + enol to keto'], 'C1C(C(C(C(CN)(O)O1)O)O)O', ['412_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	YVHQDQATBMLYDP	C1(C(C(CN)(O)OCC1)O)=O	['C1(C(C(CN)(O)OCC1)O)=O', ['3876_0', 'Elimination + enol to keto'], 'C1C(C(C(C(CN)(O)O1)O)O)O', ['412_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	VGHZKXUGMXGSFT	C1(COC(C(C1)O)(CN)O)=O	['C1(COC(C(C1)O)(CN)O)=O', ['3878_0', 'Elimination + enol to keto'], 'C1C(C(C(C(CN)(O)O1)O)O)O', ['412_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	HSBPLVKQMNPONH	C1(CC(C(C(CO)O1)O)N)=O	['C1(CC(C(C(CO)O1)O)N)=O', ['3888_0', 'Elimination + enol to keto'], 'C(C1C(C(C(C(O)O1)O)N)O)O', ['422_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G3	GZBQWVPNZWUCIN	C1(CC(C(C(CO1)O)O)N)=O	['C1(CC(C(C(CO1)O)O)N)=O', ['3891_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)N)O)O', ['430_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G3	KYJXIFKUSIDFMN	C1(COC(C(C(C1)N)O)O)=O	['C1(COC(C(C(C1)N)O)O)=O', ['3895_0', 'Elimination + enol to keto'], 'C1C(C(C(C(C(O)O1)O)N)O)O', ['430_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G3	RAFPPPJFPUCLQJ	C(C(CO)O)(N)=CC(CN)=O	['C(C(CO)O)(N)=CC(CN)=O', ['4048_0', 'Elimination2'], 'C(CN)(C(C(C(CO)O)N)O)=O', ['363_0', 'Mannich Addition'], 'N']
G3	VVJKTJRVIRDKNW	C(CN)(C(C(N)=CCO)O)=O	['C(CN)(C(C(N)=CCO)O)=O', ['4050_0', 'Elimination2'], 'C(CN)(C(C(C(CO)O)N)O)=O', ['363_0', 'Mannich Addition'], 'N']
G3	HDXVFGYNQCBFKD	C(C(C(C(C(CN)O)O)O)O)=O	['C(C(C(C(C(CN)O)O)O)O)=O', ['4221_0', 'Hydration of C(=O)C'], 'O']
G3	MKNULRZXSBBYKC	C(C(C(C(C(CO)O)N)N)O)=O	['C(C(C(C(C(CO)O)N)N)O)=O', ['4244_0', 'Deamination of Vicinal Diamine, (inverse)'], 'N']
G3	QSACAOYQMUMDSI	C1(C(C(CO)NCC1O)O)=O	['C1(C(C(CO)NCC1O)O)=O', ['4308_0', 'Mannich Addition'], 'C(C(C(CO)O)O)(C(CN)O)=O', ['92_0', 'Keto-enol migration twice'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	WFUNXHQBIZZNLL	C1(C(C(CO)NCC1N)O)=O	['C1(C(C(CO)NCC1N)O)=O', ['4310_0', 'Mannich Addition'], 'C(C(C(CO)O)O)(C(CN)N)=O', ['128_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	LMXRVJUGGJXBPL	C(C(CNCC(CO)=O)O)=O	['C(C(CNCC(CO)=O)O)=O', ['4322_0', 'Mannich Addition'], 'C(C(CO)O)=O', ['53_0', 'Retro Aldol'], 'C(CO)(C(C(C(CO)O)O)O)=O', ['7_0', 'Keto-enol migration twice'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G3	OOPUUCYNBACYQM	C(CNCC(C(CO)=O)O)=O	['C(CNCC(C(CO)=O)O)=O', ['4356_0', 'Mannich Addition'], 'C(CO)(C(CO)O)=O', ['87_0', 'Keto-enol migration twice'], 'C(C(C(CO)O)O)=O', ['5_0', 'Retro Aldol'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G3	ZDTUBMWORDKMEO	C(CN)(C(CNCC=O)O)=O	['C(CN)(C(CNCC=O)O)=O', ['4358_0', 'Mannich Addition'], 'C(CN)=O', ['120_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	BWDKXDOHBSDQPX	C(C(C(CO)NCC=O)O)(O)=O	['C(C(C(CO)NCC=O)O)(O)=O', ['4360_0', 'Mannich Addition'], 'C(CN)=O', ['120_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	LZTJQXPIHHRUPJ	C1(C(C(C(C1CO)N)O)O)=O	['C1(C(C(C(C1CO)N)O)O)=O', ['4377_0', 'Mannich Addition'], 'N']
G3	BNDSXHMEMQEVSN	C(C(C(C(C(CO)O)N)O)=O)=O	['C(C(C(C(C(CO)O)N)O)=O)=O', ['4384_0', 'Mannich Addition'], 'N']
G3	IGKYVCICNKCOQT	C(C(C(CO)N)O)(C(CN)O)=O	['C(C(C(CO)N)O)(C(CN)O)=O', ['4397_0', 'Mannich Addition'], 'N']
G3	LPFGMYTXNWIXBM	C(C(C(C(C(C)O)=O)O)N)=O	['C(C(C(C(C(C)O)=O)O)N)=O', ['4404_0', 'Mannich Addition'], 'N']
G3	GCKJGOBNIHLMDF	C(CN)(C(CN)O)=O	['C(CN)(C(CN)O)=O', ['4408_0', 'Mannich Addition'], 'N']
G3	GRGXUAOUTHFCSW	C(C(C(CO)N)O)(C(CO)N)=O	['C(C(C(CO)N)O)(C(CO)N)=O', ['4412_0', 'Mannich Addition'], 'N']
G3	JZCPNNSOGFAGNJ	C(C(C(CO)N)O)(C(CN)N)=O	['C(C(C(CO)N)O)(C(CN)N)=O', ['4414_0', 'Mannich Addition'], 'N']
G3	WLHGWKJGFZFMJD	C(CC(C(C(CN)O)=O)N)=O	['C(CC(C(C(CN)O)=O)N)=O', ['4416_0', 'Mannich Addition'], 'N']
G3	NENOPCFULRRGTH	C(C(C(C(C(C)N)=O)O)N)=O	['C(C(C(C(C(C)N)=O)O)N)=O', ['4422_0', 'Mannich Addition'], 'N']
G3	NKZITOZHKNVONV	C(CC(C(C(C=O)O)N)N)=O	['C(CC(C(C(C=O)O)N)N)=O', ['4461_0', 'Mannich Addition'], 'N']
G3	QVBCCSOHKJXNHG	C1(C(C(CO)N)OC(C1)O)=O	['C1(C(C(CO)N)OC(C1)O)=O', ['4466_0', 'Mannich Addition'], 'N']
G3	MUSLJLKIDRTDCI	C1(COC(CO)C(C1O)N)=O	['C1(COC(CO)C(C1O)N)=O', ['4470_0', 'Mannich Addition'], 'N']
G3	CVPRTDFVCFRLDJ	C1(C(O)OC(CO)C(C1)N)=O	['C1(C(O)OC(CO)C(C1)N)=O', ['4472_0', 'Mannich Addition'], 'N']
G3	SEUHWTRNLYQXMM	C1(C(CO)OC(C(C1)N)O)=O	['C1(C(CO)OC(C(C1)N)O)=O', ['4478_0', 'Mannich Addition'], 'N']
G3	JTSOJZMDXVOUBA	C1(C(CN)OC(C(C1)O)O)=O	['C1(C(CN)OC(C(C1)O)O)=O', ['4480_0', 'Mannich Addition'], 'N']
G3	WDDHKMVCVCXSIU	C1(COCC(C(C1O)N)O)=O	['C1(COCC(C(C1O)N)O)=O', ['4483_0', 'Mannich Addition'], 'N']
G3	HXEVZWPQVHBLLT	C1(C(O)OCC(C(C1)N)O)=O	['C1(C(O)OCC(C(C1)N)O)=O', ['4485_0', 'Mannich Addition'], 'N']
G3	YATDEFSTBFDJEM	C1(C(C(COC(C1)O)N)O)=O	['C1(C(C(COC(C1)O)N)O)=O', ['4489_0', 'Mannich Addition'], 'N']
G3	SLLOEJYEZNORLH	C1(C(C(O)OCC(C1)N)O)=O	['C1(C(C(O)OCC(C1)N)O)=O', ['4493_0', 'Mannich Addition'], 'N']
G3	ZRUXLPQRZCZOMF	C1(C(COC(C(C1)N)O)O)=O	['C1(C(COC(C(C1)N)O)O)=O', ['4495_0', 'Mannich Addition'], 'N']
G3	FZIDPOKOYPEPIH	C1(C(C(C(O)OCC1)N)O)=O	['C1(C(C(C(O)OCC1)N)O)=O', ['4497_0', 'Mannich Addition'], 'N']
G3	SQXFGCCBCVKDJF	C(CC(C=O)N)(C(CN)O)=O	['C(CC(C=O)N)(C(CN)O)=O', ['4503_0', 'Mannich Addition'], 'N']
G3	NIEGRQCBGKJSOT	C(C(C(C(CCN)=O)O)N)=O	['C(C(C(C(CCN)=O)O)N)=O', ['4506_0', 'Mannich Addition'], 'N']
G3	PMSKZJOHMZBAEP	C(C1C(CC(CO)(O1)O)N)=O	['C(C1C(CC(CO)(O1)O)N)=O', ['4510_0', 'Mannich Addition'], 'N']
G3	MQBZXUVSYBFGEE	C(C1C(C(C(C)(O1)O)O)N)=O	['C(C1C(C(C(C)(O1)O)O)N)=O', ['4512_0', 'Mannich Addition'], 'N']
G3	NMFSZTWYHRIPNG	C(C1C(C(CC(O1)O)O)N)=O	['C(C1C(C(CC(O1)O)O)N)=O', ['4514_0', 'Mannich Addition'], 'N']
G3	WZPIFHVCFDVZNJ	C1(C(C(C(C(CO)O)O1)N)O)=O	['C1(C(C(C(C(CO)O)O1)N)O)=O', ['4516_0', 'Mannich Addition'], 'N']
G3	UWMWCAUOCJCXCG	C1(C(C(C(C(CO)O1)O)N)O)=O	['C1(C(C(C(C(CO)O1)O)N)O)=O', ['4518_0', 'Mannich Addition'], 'N']
G3	HANAFSJCQWWZHM	C1(C(C(C(C(CO1)O)O)N)O)=O	['C1(C(C(C(C(CO1)O)O)N)O)=O', ['4520_0', 'Mannich Addition'], 'N']
G3	IEDTYFOUWKTGRH	C1C(C(C(C(CN)O)(O)O1)O)O	['C1C(C(C(C(CN)O)(O)O1)O)O', ['4552_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CO)O)O)(C(CN)O)=O', ['92_0', 'Keto-enol migration twice'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	MJTJBUAEXDBNTC	C(C1(C(C(C(CO)O1)O)N)O)O	['C(C1(C(C(C(CO)O1)O)N)O)O', ['4574_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CO)(C(C(C(CO)O)O)N)=O', ['118_0', 'Keto-enol migration twice'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G3	XMHUJUHSEJXXBH	C(C(C1C(C(C(O)O1)N)O)O)O	['C(C(C1C(C(C(O)O1)N)O)O)O', ['4576_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(CO)O)O)O)N)=O', ['124_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	KJKVAIVUNLFPGP	C1C(C(C(C(CO)N)(O)O1)O)O	['C1C(C(C(C(CO)N)(O)O1)O)O', ['4578_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CO)O)O)(C(CO)N)=O', ['126_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	MSGDXPSWBDWSOB	C1C(C(C(C(CN)N)(O)O1)O)O	['C1C(C(C(C(CN)N)(O)O1)O)O', ['4580_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CO)O)O)(C(CN)N)=O', ['128_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	RZLYEZMFVRMIRB	C(C1(C(CC(CO)O1)N)O)=O	['C(C1(C(CC(CO)O1)N)O)=O', ['4584_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CC(CO)O)N)=O)=O', ['134_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	MHHUDFKAQWFCHR	C(C1CC(C(CO)(O1)O)N)=O	['C(C1CC(C(CO)(O1)O)N)=O', ['4587_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(CC(C(CO)=O)N)O)=O', ['138_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	KSIMSSHFSZNEMF	C(C(C1(C(CCO1)N)O)O)=O	['C(C(C1(C(CCO1)N)O)O)=O', ['4589_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(CCO)N)=O)O)=O', ['142_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	GWICSTRKKVFJBI	C(C(C1CC(C(O)O1)N)O)=O	['C(C(C1CC(C(O)O1)N)O)=O', ['4591_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(CC(C(C=O)O)O)N)=O', ['146_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	IWQVOBXHTXXBAZ	C(C1C(C(C(CN)(O)O1)N)O)O	['C(C1C(C(C(CN)(O)O1)N)O)O', ['4594_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CN)(C(C(C(CO)O)O)N)=O', ['154_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	XVORVPYXRXJPKZ	C(CC1(C(C(CO1)O)N)O)=O	['C(CC1(C(C(CO1)O)N)O)=O', ['4617_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CC(C(C(CO)O)N)=O)=O', ['210_0', 'Amadori Rearrangement'], 'N']
G3	OLIVDJWAKREFLG	C(C(C1(CC(CO1)O)O)N)=O	['C(C(C1(CC(CO1)O)O)N)=O', ['4619_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CC(CO)O)=O)N)=O', ['212_0', 'Amadori Rearrangement'], 'N']
G3	ANNVHULGQSGKOS	C(C1C(C(C(C)(O1)O)N)O)=O	['C(C1C(C(C(C)(O1)O)N)O)=O', ['4621_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(C(C(C)=O)N)O)O)=O', ['218_0', 'Amadori Rearrangement'], 'N']
G3	MRFVDSIWLHPFOX	C1C(C(C(O)O1)O)N	['C1C(C(C(O)O1)O)N', ['4659_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CO)N)O)=O', ['359_0', 'Mannich Addition'], 'N']
G3	QJYVPNGXCKPERF	C(C1(C(C(C(CO)O1)N)O)O)O	['C(C1(C(C(C(CO)O1)N)O)O)O', ['4661_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CO)(C(C(C(CO)O)N)O)=O', ['361_0', 'Mannich Addition'], 'N']
G3	KWPGXLBSQDTGER	C(C1C(C(C(CN)(O)O1)O)N)O	['C(C1C(C(C(CN)(O)O1)O)N)O', ['4663_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CN)(C(C(C(CO)O)N)O)=O', ['363_0', 'Mannich Addition'], 'N']
G3	MPICLHBJHCRIDD	C(C1(CC(C(CO)O1)N)O)=O	['C(C1(CC(C(CO)O1)N)O)=O', ['4665_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(CC(C(CO)O)N)=O)=O', ['366_0', 'Mannich Addition'], 'N']
G3	MCSWFAPQINTSNL	C(CC1(C(C(CO1)N)O)O)=O	['C(CC1(C(C(CO1)N)O)O)=O', ['4668_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CC(C(C(CO)N)O)=O)=O', ['368_0', 'Mannich Addition'], 'N']
G3	APDQDTPXDDSERV	C(C(C1(CC(CO1)N)O)O)=O	['C(C(C1(CC(CO1)N)O)O)=O', ['4670_0', 'Hemiacetal Formation for 5 membered rings'], 'C(C(C(CC(CO)N)=O)O)=O', ['370_0', 'Mannich Addition'], 'N']
G3	YKVXGGOMIVDVPZ	C(C(C1C(CC(O)O1)N)O)=O	['C(C(C1C(CC(O)O1)N)O)=O', ['4672_0', 'Hemiacetal Formation for 5 membered rings'], 'C(CC(C(C(C=O)O)O)N)=O', ['383_0', 'Mannich Addition'], 'N']
G3	KFXHUNWWGMWTGN	C1C(C(C(C(CO)(O)O1)N)O)O	['C1C(C(C(C(CO)(O)O1)N)O)O', ['4705_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CO)(C(C(C(CO)O)O)N)=O', ['118_0', 'Keto-enol migration twice'], 'C(C(C(C(C(CO)O)O)N)O)=O', ['30_0', 'Mannich Addition'], 'N']
G3	MSWZFWKMSRAUBD	C(C1C(C(C(C(O)O1)N)O)O)O	['C(C1C(C(C(C(O)O1)N)O)O)O', ['4707_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(C(C(CO)O)O)O)N)=O', ['124_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	DWFBHKNATQHOBX	C(C1(C(CC(CO1)O)N)O)=O	['C(C1(C(CC(CO1)O)N)O)=O', ['4712_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(C(CC(CO)O)N)=O)=O', ['134_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	HOGBWGYBPZHOKX	C(C1C(CC(C(O1)O)N)O)=O	['C(C1C(CC(C(O1)O)N)O)=O', ['4717_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(CC(C(C=O)O)O)N)=O', ['146_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	UOFNYXIRYIZBOV	C1C(C(C(C(CN)(O)O1)N)O)O	['C1C(C(C(C(CN)(O)O1)N)O)O', ['4719_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CN)(C(C(C(CO)O)O)N)=O', ['154_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	QNOOXRPOJAFUHS	C1C(C(C(C(CO)(O)O1)O)N)O	['C1C(C(C(C(CO)(O)O1)O)N)O', ['4746_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CO)(C(C(C(CO)O)N)O)=O', ['361_0', 'Mannich Addition'], 'N']
G3	OCESNAHLVAMLOZ	C1C(C(C(C(CN)(O)O1)O)N)O	['C1C(C(C(C(CN)(O)O1)O)N)O', ['4748_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CN)(C(C(C(CO)O)N)O)=O', ['363_0', 'Mannich Addition'], 'N']
G3	XHKMPHVFJOIEKT	C(C1(CC(C(CO1)O)N)O)=O	['C(C1(CC(C(CO1)O)N)O)=O', ['4751_0', 'Hemiacetal Formation for 6 membered rings'], 'C(C(CC(C(CO)O)N)=O)=O', ['366_0', 'Mannich Addition'], 'N']
G3	WABLGZVCKMJRPA	C(C1C(C(CC(O1)O)N)O)=O	['C(C1C(C(CC(O1)O)N)O)=O', ['4755_0', 'Hemiacetal Formation for 6 membered rings'], 'C(CC(C(C(C=O)O)O)N)=O', ['383_0', 'Mannich Addition'], 'N']
G3	UBVZSEQRDSQASZ	C1C(C(C(C(C(O)O1)N)O)O)O	['C1C(C(C(C(C(O)O1)N)O)O)O', ['4768_0', 'Hemiacetal Formation for 7 membered rings'], 'C(C(C(C(C(CO)O)O)O)N)=O', ['124_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	WQVXMLWFVLQPOR	C(C(CC(C(CO)O)O)N)(O)=O	['C(C(CC(C(CO)O)O)N)(O)=O', ['4832_0', 'Transamination'], 'C(CO)(CN)=O', ['55_0', 'Retro Aldol'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	HQCPIGGVQYUKKJ	C(C(CN)=O)(C(C(CO)O)O)=O	['C(C(CN)=O)(C(C(CO)O)O)=O', ['4841_0', 'Transamination'], 'C(C(C(CO)O)O)(C(CN)N)=O', ['128_0', 'Amadori/Heyns Rearrangement'], 'N']
G3	SNGUDZINOHYWJG	C(C(CO)O)(C(C(CN)=O)O)=O	['C(C(CO)O)(C(C(CN)=O)O)=O', ['4879_0', 'Transamination'], 'C(C(CC(C(CO)O)O)=O)(O)=O', ['181_0', 'Cannizarro 2, glucose (reduction)'], 'O']
G4	RPLBTYVHLJOBKZ	C1(C(C(C(C1O)O)O)O)=O	['C1(C(C(C(C1O)O)O)O)=O', ['5008_0', 'Aldol Condensation'], 'C(C(C(C(CO)=O)O)O)=O', ['544_0', 'Aldol Condensation'], 'C(CO)(CO)=O', ['53_0', 'Retro Aldol'], 'C(CO)(C(C(C(CO)O)O)O)=O', ['7_0', 'Keto-enol migration twice'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	VTGXWPRMTLEXBH	C1(C(C(C(CO)(C1)O)N)O)=O	['C1(C(C(C(CO)(C1)O)N)O)=O', ['5022_0', 'Aldol Condensation'], 'C(CO)(C(C(C(C)=O)O)N)=O', ['614_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['55_0', 'Retro Aldol'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G4	NJQGFJWYYJIGPB	C1(C(C(C(C1N)O)(C)O)O)=O	['C1(C(C(C(C1N)O)(C)O)O)=O', ['5024_0', 'Aldol Condensation'], 'C(CO)(C(C(C(C)=O)O)N)=O', ['614_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['55_0', 'Retro Aldol'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G4	DZABSXQNLXQDED	C1(C(C(C(C1N)O)O)O)=O	['C1(C(C(C(C1N)O)O)O)=O', ['5048_0', 'Aldol Condensation'], 'C(C(C(C(CO)=O)N)O)=O', ['645_0', 'Aldol Condensation'], 'C(CO)(CN)=O', ['55_0', 'Retro Aldol'], 'C(CN)(C(C(C(CO)O)O)O)=O', ['9_0', 'Amadori/Heyns Rearrangement'], 'N']
G4	FZRWVEDGHRHXTC	C(CO)(C1C(CC(C1O)=O)O)=O	['C(CO)(C1C(CC(C1O)=O)O)=O', ['5074_0', 'Aldol Condensation'], 'C(CO)(CC(CC(C=O)=O)O)=O', ['713_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	DNSVTLFKOGIDGH	C1(C(C(C(CC(C1)O)=O)O)O)=O	['C1(C(C(C(CC(C1)O)=O)O)O)=O', ['5076_0', 'Aldol Condensation'], 'C(CO)(CC(CC(C=O)=O)O)=O', ['713_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	ARTFWEBDMQPPEL	C(C1(CC(CC(C1O)=O)O)O)=O	['C(C1(CC(CC(C1O)=O)O)O)=O', ['5078_0', 'Aldol Condensation'], 'C(CO)(CC(CC(C=O)=O)O)=O', ['713_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	XVHPLUHOTOURLI	C(C1C(CO)(CC(C1O)=O)O)=O	['C(C1C(CO)(CC(C1O)=O)O)=O', ['5080_0', 'Aldol Condensation'], 'C(CC(CO)(CC(C=O)=O)O)=O', ['715_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	DMLHUZOIIHWSRY	C(C1C(C(C(C)(C1O)O)O)=O)=O	['C(C1C(C(C(C)(C1O)O)O)=O)=O', ['5082_0', 'Aldol Condensation'], 'C(C(C(CO)=O)C(C(C)=O)O)=O', ['717_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	WPAPXOCDBQCIPU	C(C1C(C(C(C1(C)O)O)O)=O)=O	['C(C1C(C(C(C1(C)O)O)O)=O)=O', ['5086_0', 'Aldol Condensation'], 'C(C(C)(C(C=O)C(CO)=O)O)=O', ['719_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	AEPUFZVZGQIGAD	C(CC1(C(C(C(C1)=O)O)O)O)=O	['C(CC1(C(C(C(C1)=O)O)O)O)=O', ['5090_0', 'Aldol Condensation'], 'C(CC(C(C(C(C)=O)O)O)=O)=O', ['721_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	ZVWQVMHJCGGFNL	C1(CC(C(CC(C1O)O)=O)O)=O	['C1(CC(C(CC(C1O)O)=O)O)=O', ['5093_0', 'Aldol Condensation'], 'C(C)(C(C(CC(C=O)=O)O)O)=O', ['725_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	IACPYHVNAFOEMI	C(C1(CC(C(C(C1)=O)O)O)O)=O	['C(C1(CC(C(C(C1)=O)O)O)O)=O', ['5095_0', 'Aldol Condensation'], 'C(C)(C(C(CC(C=O)=O)O)O)=O', ['725_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	MTTDGNKGKZLDMW	C1(C(CC(C(C=O)O)(C1)O)O)=O	['C1(C(CC(C(C=O)O)(C1)O)O)=O', ['5098_0', 'Aldol Condensation'], 'C(C(C(CC(C(C)=O)O)=O)O)=O', ['729_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
G4	OGIMEFKXTUNSGL	C1(C(CC(C(CO)O)(C1)O)O)=O	['C1(C(CC(C(CO)O)(C1)O)O)=O', ['5100_0', 'Aldol Condensation'], 'C(CC(C(C)=O)O)(C(CO)O)=O', ['737_0', 'Aldol Condensation'], 'C(C(C)=O)=O', ['57_0', 'Retro Aldol'], 'C(C(CC(C(CO)O)O)=O)=O', ['14_0', 'Elimination + enol to keto'], 'C(C(C(C(C(CO)O)O)O)O)=O', ['45_0', 'Aldol Condensation'], 'C(CO)=O']
